Data_Publicacao,Portal,Casa,Noticia,Resumo,Rotulo_Especialista,Evidencia,Sentimento_Rotulo,Sentimento_Indice,Acertou,URL
2018-10-08,InfoMoney,bradesco bbi,Bradesco BBI recomenda compra para Petrobras após eleição e vê alta de 67%,Equipe de análise estima um preço-alvo de R$ 40 para os papéis da companhia,Positive,recomenda compra,Neutral,0.0,False,https://www.infomoney.com.br/onde-investir/bradesco-bbi-recomenda-compra-para-petrobras-apos-eleicao-e-ve-alta-de-67/
2018-10-28,Exame,xp investimentos,XP Investimentos eleva recomendação de Petrobras para 'compra',A percepção de menor intervenção do governo na estatal tem como base afirmações do presidente eleito de que manteria repasses de preços,Positive,eleva recomendação,Positive,0.5408889651298523,True,https://exame.com/invest/mercados/xp-investimentos-eleva-recomendacao-de-petrobras-para-compra/
2018-10-29,MoneyTimes,xp,Petrobras: XP recomenda compra e eleva preço-alvo,"Por Arena do Pavini – Com a eleição de Jair Bolsonaro para a Presidência da República, os analistas do mercado devem rever suas estratégicas para a bolsa de valores. A corretora XP Investimentos divulgou hoje mesmo, logo após o resultado da eleição, a recomendação de compra para as ações da Petrobras e o aumento do preço-alvo dos papéis. A ação preferencial (PETR4) de […]",Positive,eleva preço-alvo,Neutral,0.0,False,https://www.moneytimes.com.br/petrobras-xp-recomenda-compra-e-eleva-preco-alvo/
2018-10-29,InfoMoney,xp,XP eleva preço-alvo de Petrobras e BB após vitória de Bolsonaro,"O preço-alvo das ações ordinárias da Petrobras (PETR3) passou de R$ 27 para R$ 32, enquanto nas preferenciais (PETR4) o alvo foi de R$ 28 para R$ 33; no BB (BBAS3) o preço-alvo foi de R$ 41,00 para R$ 51,00",Positive,eleva preço-alvo,Positive,0.5873589515686035,True,https://www.infomoney.com.br/onde-investir/xp-eleva-preco-alvo-de-petrobras-e-bb-apos-vitoria-de-bolsonaro/
2018-11-06,InfoMoney,xp,"Petrobras teve resultado decepcionante, mas este ainda não é o verdadeiro potencial da estatal, diz XP","Conforme destaca a XP Research, há espaço para as ações reduzirem o nível de desconto que negociam em relação às petroleiras globais e a recomendação segue de compra para os ativos",Negative,decepcion,Negative,-0.8037335276603699,True,https://www.infomoney.com.br/negocios/petrobras-teve-resultado-decepcionante-mas-este-ainda-nao-e-o-verdadeiro-potencial-da-estatal-diz-xp/
2018-11-07,InfoMoney,analistas,As 17 ações preferidas dos analistas para comprar em novembro,"A queridinha deste mês é Petrobras, com 10 recomendações",Positive,para compra,Neutral,0.0,False,https://www.infomoney.com.br/onde-investir/as-17-acoes-preferidas-dos-analistas-para-comprar-em-novembro/
2018-11-12,MoneyTimes,guide,Guide atualiza carteira semanal com Braskem e Petrobras no lugar de B3 e Vale,"Por Investing.com – A Guide Investimentos divulgou nesta segunda-feira a atualização da carteira semanal, trocando as ações B3 e da Vale (VALE3) pelas da Braskem (BRKM5) e Petrobras (PETR4). Na semana passada, o rendimento foi negativo de 4,24%, ficando acima dos -4,42% do Ibovespa. No acumulado do ano, o portfólio soma 10,45%, ante 12,09% do principal […]",Negative,foi negativ,Neutral,0.0,False,https://www.moneytimes.com.br/guide-atualiza-carteira-semanal-com-braskem-e-petrobras-no-lugar-de-b3-e-vale/
2018-11-26,InfoMoney,itaú bba,"Petrobras elevada a ‘outperform’ pelo Itaú BBA, Braskem aprova financiamento de US$ 295 milhões e mais notícias",Confira os destaques corporativos desta segunda-feira (26),Positive,outperform,Positive,0.4830723404884338,True,https://www.infomoney.com.br/mercados/petrobras-elevada-a-outperform-pelo-itau-bba-braskem-aprova-financiamento-de-us-295-milhoes-e-mais-noticias/
2018-11-28,MoneyTimes,itaú bba,Petrobras: Cessão onerosa deve compensar queda do petróleo,"A equipe de análise do Itaú BBA atualizou a tese de investimento na Petrobras (PETR4) com a recomendação alterada de market perform (desempenho em média com o mercado) para outperform (desempenho acima da média do mercado), com preço-alvo de R$ 32 para o final de 2019. O valor corresponde a um potencial de valorização de aproximadamente […]",Positive,outperform,Negative,-0.7720041871070862,False,https://www.moneytimes.com.br/petrobras-cessao-onerosa-deve-compensar-queda-do-petroleo/
2018-12-12,MoneyTimes,itaú bba,"Itaú BBA: mesmo com petróleo a US$ 60, Petrobras é atraente","O Itaú BBA divulgou em relatório nesta quarta-feira (12) atualização de suas estimativas para as ações da Petrobras (PETR4), com elevação no preço-alvo das ações para o fim de 2019, de R$ 27,00 para R$ 32,00, com recomendação outperform (desempenho acima da média do mercado). De acordo com o analista Guilherme Reif, o otimismo em […]",Positive,outperform,Neutral,0.0,False,https://www.moneytimes.com.br/itau-bba-mesmo-com-petroleo-a-us-60-petrobras-e-atraente/
2019-01-06,MoneyTimes,analistas,Conheça a Top Pick de 21 analistas para janeiro,"A Petrobras (PETR4) foi mais uma vez a escolhida como a predileta do mercado financeiro brasileiro. O levantamento do Money Times com 21 bancos e corretoras, o maior do Brasil, mostra que 16 indicam a estatal de petróleo para janeiro. É o dobro do segundo lugar, que poderá se conhecido com a publicação da Carteira […]",Positive,top pick,Neutral,0.0,False,https://www.moneytimes.com.br/conheca-a-top-pick-de-21-analistas-para-janeiro/
2019-01-08,MoneyTimes,bradesco bbi,"Bradesco BBI: US$ 14 bi da Cessão Onerosa elevaria preço-alvo da Petrobras em R$ 2,15","Segundo cálculos da equipe do Bradesco BBI, um possível pagamento da União à Petrobras (PETR4) de US$ 14 bilhões, que cedeu para a estatal o direito de explorar seis grandes blocos de petróleo na camada do pré-sal, pode resultar em um aumento de R$ 2,15 no preço-alvo das ações. O valor atual é estipulado em R$ […]",Positive,elevaria preço-alvo,Neutral,0.0,False,https://www.moneytimes.com.br/bradesco-bbi-us-14-bi-da-cessao-onerosa-elevaria-preco-alvo-da-petrobras-em-r-215/
2019-01-11,MoneyTimes,itaú bba,Petrobras: Itaú BBA reforça recomendação de compra,"O analista do Itaú BBA André Hachem fez uma análise do discurso inaugural do novo CEO da Petrobras (PETR4), Roberto Castello Branco e das mudanças na alta gestão da companhia, mostra um relatório enviado a clientes. Ele manteve a recomendação outperform para a companhia (desempenho acima da média do mercado), com preço-alvo de R$ 32 por ação para […]",Positive,recomendação de compra,Positive,0.5620321035385132,True,https://www.moneytimes.com.br/petrobras-itau-bba-reforca-recomendacao-de-compra/
2019-01-16,MoneyTimes,corretora,"Por alta na demanda, Planner recomenda compra às ações da BR Distribuidora","A corretora Planner divulgou nesta quarta-feira (16) análise de investimentos, listando recomendação de compra para as ações da Petrobras Distribuidora (BRDT3), com preço justo de R$ 30,50 por ação. “A Petrobras Distribuidora tem um diferencial considerável de rentabilidade com suas concorrentes e vemos isso como oportunidade para o crescimento dos lucros, dado que a empresa […]",Positive,recomendação de compra,Neutral,0.0,False,https://www.moneytimes.com.br/por-alta-na-demanda-planner-recomenda-compra-as-acoes-da-br-distribuidora/
2019-01-21,MoneyTimes,xp,XP aposta em Petrobras e Gol na carteira Top Picks desta semana,A XP Investimentos publicou nesta segunda-feira (21) sua carteira Top Picks para esta semana. A corretora optou por trocar as ações das empresas Bradespar (BRAP4) e JBS (JBSS3) pelos papéis da Petrobras (PETR4) e da Gol (GOLL4). + Veja aqui quais são as pequenas gigantes da Bolsa que podem te ajudar a transformar centavos em […],Positive,top pick,Neutral,0.0,False,https://www.moneytimes.com.br/xp-aposta-em-petrobras-e-gol-na-carteira-top-picks-desta-semana/
2019-01-28,InfoMoney,xp,"Embraer, Petrobras e mais 3 ações para comprar nesta semana, segundo a XP","A carteira Top Picks é formada por cinco ativos, cada um com peso igual de 20%",Positive,para compra,Neutral,0.0,False,https://www.infomoney.com.br/onde-investir/embraer-petrobras-e-mais-3-acoes-para-comprar-nesta-semana-segundo-a-xp/
2019-02-18,MoneyTimes,xp,XP troca quatro das cinco ações em carteira Top Picks desta semana,"A XP Investimentos optou por manter apenas a Petrobras (PETR4) em sua carteira semanal, divulgada nesta segunda-feira (18). Com isso, as ações da Vale (VALE3), Kroton (KROT3), Engie (EGIE3) e CCR (CCRO3) pelos papéis da Randon (RAPT4), Sabesp (SBSP3), BB Seguridade (BBSE3) e JBS (JBSS3). Como faço para investir meu dinheiro? Seu amigo acha que […]",Positive,top pick,Neutral,0.0,False,https://www.moneytimes.com.br/xp-troca-quatro-das-cinco-acoes-em-carteira-top-picks-desta-semana/
2019-02-27,MoneyTimes,xp,"Resultado da Petrobras mostra que o melhor ainda está por vir, diz XP","A XP Investimentos avalia que o resultado do quarto trimestre de 2018 da Petrobras (PETR3; PETR4) foi positivo, mas alerta que o melhor ainda está por vir, mostra um relatório enviado a clientes nesta quarta-feira (27). A recomendação de compra foi reiterada, com preço-alvo de R$ 31 para preferencial e R$ 30 para ordinária. 6 passos para […]",Positive,foi positiv,Neutral,0.0,False,https://www.moneytimes.com.br/resultado-da-petrobras-mostra-que-o-melhor-ainda-esta-por-vir-diz-xp/
2019-03-14,MoneyTimes,hsbc,"Ação da Petrobras agora é compra, decreta HSBC","A equipe de análise do HSBC Global Research elevou a recomendação para as ações da Petrobras (PETR4) para compra, mostra um relatório enviado a clientes nesta quinta-feira (14) e assinado por Lilyanna Yang. O preço-alvo foi elevado de R$ 28 para R$ 32. O valor corresponde a um potencial de valorização de aproximadamente 14%.",Positive,elevou a recomendação,Neutral,0.0,False,https://www.moneytimes.com.br/acao-da-petrobras-agora-e-compra-decreta-hsbc/
2019-04-03,MoneyTimes,btg,"Enfim, chegou a hora e a vez da Nova Petrobras brilhar na bolsa","A história não contada de crescimento, em quantidade de ativos. Este é a matriz da análise do BTG Pactual para a Petrobras (PETR3; PETR4), em relatório de início de cobertura das ações da estatal, com recomendação de compra e preço-alvo de US$ 20,00 para os ADRs (American Depositary Receipts, ativos da estatal listados em Nova York), upside (potencial […]",Positive,recomendação de compra,Neutral,0.0,False,https://www.moneytimes.com.br/enfim-chegou-a-hora-e-a-vez-da-nova-petrobras-brilhar-na-bolsa/
2019-04-08,MoneyTimes,credit suisse,Última chamada para entrar no voo das ações da Petrobras; Credit Suisse eleva recomendação,"Em um relatório intitulado “Última chamada para o voo do momentum”, o Credit Suisse elevou a recomendação para os papeis da Petrobras (PETR3; PETR4) de neutra para compra. O analista Regis Cardoso também revisou o preço-alvo para os ativos negociados em Nova York de US$ 15 para US$ 21. O valor sugere um potencial de valorização […]",Positive,eleva recomendação,Neutral,0.0,False,https://www.moneytimes.com.br/ultima-chamada-para-entrar-no-voo-das-acoes-da-petrobras-credit-suisse-eleva-recomendacao/
2019-04-08,MoneyTimes,btg,Petrobras: BTG alerta para ponto de entrada nas ações,"O BTG Pactual alerta os investidores para um bom ponto de entrada nas ações da Petrobras (PETR3; PETR4), mostra um relatório enviado a clientes nesta segunda-feira (8). Os analistas Thiago Duarte e Pedro Soares avaliam que a venda da TAG, concretizada na sexta-feira (5) representa outro passo positivo na caminhada da empresa para um perfil mais racional. Última […]",Positive,bom ponto de entrada,Negative,-0.4320581257343292,False,https://www.moneytimes.com.br/petrobras-btg-alerta-para-ponto-de-entrada-nas-acoes/
2019-04-08,MoneyTimes,corretora,Necton divulga recomendações para carteira semanal,"A Necton divulgou a seus clientes nesta segunda-feira (8) as recomendações para a carteira semanal. Desta vez, a corretora optou por apostar nas ações da EDP Brasil (ENBR3), ABC Brasil (ABCB4), Direcional Engenharia (DIRR3), SulAmérica (SULA11) e Qualicorp (QUAL3). Última chamada para entrar no voo das ações da Petrobras; Credit Suisse eleva recomendação >> Invista […]",Positive,eleva recomendação,Neutral,0.0,False,https://www.moneytimes.com.br/necton-divulga-recomendacoes-para-carteira-semanal/
2019-04-08,MoneyTimes,guide,Guide aposta em ações da Petrobras e Sabesp para esta semana,"A Guide Investimentos optou por trocar Bradesco (BBDC4) e Taesa (TAEE11) por Petrobras (PETR4) por Sabesp (SBSP3) na nova composição de sua carteira recomendada semanal, divulgada nesta segunda-feira (8). Última chamada para entrar no voo das ações da Petrobras; Credit Suisse eleva recomendação > Invista em Imóveis de Maneira Inteligente e Seja Dono dos Maiores […]",Positive,eleva recomendação,Neutral,0.0,False,https://www.moneytimes.com.br/guide-aposta-em-acoes-da-petrobras-e-sabesp-para-esta-semana/
2019-04-08,MoneyTimes,credit suisse,Dodge pede que Supremo suspenda reintegração em terra indígena no Paraná,"A procuradora-geral da República, Raquel Dodge, pediu ao Supremo Tribunal Federal (STF) que interrompa uma reintegração de posse determinada pela Justiça Federal nas terras dos índios da etnia Kaingang, da Terra Indígena Apucarana, no Paraná PR). Última chamada para entrar no voo das ações da Petrobras; Credit Suisse eleva recomendação > Invista em Imóveis de […]",Positive,eleva recomendação,Negative,-0.8484919667243958,False,https://www.moneytimes.com.br/dodge-pede-que-supremo-suspenda-reintegracao-em-terra-indigena-no-parana/
