Data_Publicacao,Portal,Casa,Noticia,Resumo,Rotulo_Especialista,Evidencia,Sentimento_Rotulo,Concorda,AUDITORIA_correto?,AUDITORIA_rotulo_certo,URL
2019-01-28,InfoMoney,xp,"Embraer, Petrobras e mais 3 ações para comprar nesta semana, segundo a XP","A carteira Top Picks é formada por cinco ativos, cada um com peso igual de 20%",Positive,top pick,Neutral,False,,,https://www.infomoney.com.br/onde-investir/embraer-petrobras-e-mais-3-acoes-para-comprar-nesta-semana-segundo-a-xp/
2019-02-27,MoneyTimes,xp,"Resultado da Petrobras mostra que o melhor ainda está por vir, diz XP","A XP Investimentos avalia que o resultado do quarto trimestre de 2018 da Petrobras (PETR3; PETR4) foi positivo, mas alerta que o melhor ainda está por vir, mostra um relatório enviado a clientes nesta quarta-feira (27). A recomendação de compra foi reiterada, com preço-alvo de R$ 31 para preferencial e R$ 30 para ordinária. 6 passos para […]",Positive,foi positiv,Neutral,False,,,https://www.moneytimes.com.br/resultado-da-petrobras-mostra-que-o-melhor-ainda-esta-por-vir-diz-xp/
2019-03-14,MoneyTimes,hsbc,"Ação da Petrobras agora é compra, decreta HSBC","A equipe de análise do HSBC Global Research elevou a recomendação para as ações da Petrobras (PETR4) para compra, mostra um relatório enviado a clientes nesta quinta-feira (14) e assinado por Lilyanna Yang. O preço-alvo foi elevado de R$ 28 para R$ 32. O valor corresponde a um potencial de valorização de aproximadamente 14%.",Positive,elevou a recomendaç,Neutral,False,,,https://www.moneytimes.com.br/acao-da-petrobras-agora-e-compra-decreta-hsbc/
2019-04-03,MoneyTimes,btg,"Enfim, chegou a hora e a vez da Nova Petrobras brilhar na bolsa","A história não contada de crescimento, em quantidade de ativos. Este é a matriz da análise do BTG Pactual para a Petrobras (PETR3; PETR4), em relatório de início de cobertura das ações da estatal, com recomendação de compra e preço-alvo de US$ 20,00 para os ADRs (American Depositary Receipts, ativos da estatal listados em Nova York), upside (potencial […]",Positive,recomendação de compra,Neutral,False,,,https://www.moneytimes.com.br/enfim-chegou-a-hora-e-a-vez-da-nova-petrobras-brilhar-na-bolsa/
2019-04-08,MoneyTimes,credit suisse,Última chamada para entrar no voo das ações da Petrobras; Credit Suisse eleva recomendação,"Em um relatório intitulado “Última chamada para o voo do momentum”, o Credit Suisse elevou a recomendação para os papeis da Petrobras (PETR3; PETR4) de neutra para compra. O analista Regis Cardoso também revisou o preço-alvo para os ativos negociados em Nova York de US$ 15 para US$ 21. O valor sugere um potencial de valorização […]",Positive,eleva recomendaç,Neutral,False,,,https://www.moneytimes.com.br/ultima-chamada-para-entrar-no-voo-das-acoes-da-petrobras-credit-suisse-eleva-recomendacao/
2019-04-08,InfoMoney,analistas,Petrobras: venda bilionária da TAG é considerada marco e analistas recomendam compra das ações,Operação corresponde a um terço do plano de desinvestimentos da estatal e deve continuar valendo a pena no longo prazo,Positive,recomendam compra,Neutral,False,,,https://www.infomoney.com.br/negocios/petrobras-venda-bilionaria-da-tag-e-considerada-marco-e-analistas-recomendam-compra-das-acoes/
2019-04-08,MoneyTimes,btg,Petrobras: BTG alerta para ponto de entrada nas ações,"O BTG Pactual alerta os investidores para um bom ponto de entrada nas ações da Petrobras (PETR3; PETR4), mostra um relatório enviado a clientes nesta segunda-feira (8). Os analistas Thiago Duarte e Pedro Soares avaliam que a venda da TAG, concretizada na sexta-feira (5) representa outro passo positivo na caminhada da empresa para um perfil mais racional. Última […]",Positive,bom ponto de entrada,Negative,False,,,https://www.moneytimes.com.br/petrobras-btg-alerta-para-ponto-de-entrada-nas-acoes/
2019-04-08,MoneyTimes,guide,Guide aposta em ações da Petrobras e Sabesp para esta semana,"A Guide Investimentos optou por trocar Bradesco (BBDC4) e Taesa (TAEE11) por Petrobras (PETR4) por Sabesp (SBSP3) na nova composição de sua carteira recomendada semanal, divulgada nesta segunda-feira (8). Última chamada para entrar no voo das ações da Petrobras; Credit Suisse eleva recomendação > Invista em Imóveis de Maneira Inteligente e Seja Dono dos Maiores […]",Positive,eleva recomendaç,Neutral,False,,,https://www.moneytimes.com.br/guide-aposta-em-acoes-da-petrobras-e-sabesp-para-esta-semana/
2019-04-12,MoneyTimes,btg,Petrobras: BTG vê “déjà vu” porém mantém recomendação de compra às ações,"“Déjà vu”. Este é o título de relatório de research do BTG Pactual (BPAC11), no qual o banco avalia a postergação da política de reajuste do diesel proferida pela Petrobras (PETR3; PETR4) na noite da última quinta-feira (11). Como declarar investimentos no IR? Baixe agora o nosso guia completo Os analistas Thiago Duarte e Pedro Soares ponderam a dicotomia […]",Positive,recomendação de compra,Neutral,False,,,https://www.moneytimes.com.br/petrobras-btg-ve-deja-vu-porem-mantem-recomendacao-de-compra-as-acoes/
2019-04-13,Exame,corretora,Petrobras continua entre as ações preferidas apesar de incertezas,"Suspensão do aumento dos preços do diesel, a pedido de Bolsonaro, não foi suficiente para que corretoras tirem as ações da estatal da lista de Top Picks",Positive,preferida,Neutral,False,,,https://exame.com/invest/mercados/petrobras-continua-entre-as-acoes-preferidas-apesar-de-incertezas/
2019-05-04,InfoMoney,analistas,"Para analistas, ações da Petrobras têm potencial com venda de ativos",Analistas acreditam que preço-alvo das ações da Petrobras oferece potencial de alta de 20% sobre o preço atual,Positive,potencial de alta,Positive,True,,,https://www.infomoney.com.br/negocios/para-analistas-acoes-da-petrobras-tem-potencial-com-venda-de-ativos/
2019-05-06,InfoMoney,analistas,Ações da Petrobras e do Banco do Brasil são as preferidas dos analistas em maio; confira recomendações,Levantamento feito pelo InfoMoney com 13 carteiras de ações ranqueou as mais indicadas pelos analistas para este mês,Positive,preferida,Neutral,False,,,https://www.infomoney.com.br/onde-investir/acoes-da-petrobras-e-do-banco-do-brasil-sao-as-preferidas-dos-analistas-em-maio-confira-recomendacoes/
2019-05-08,MoneyTimes,btg,Petrobras opera com ganhos; BTG mantém otimismo e recomendação de compra,"Por Investing.com Na abertura dos negócios da manhã desta quarta-feira na bolsa paulista, as ações da Petrobras (PETR4) operam com ganhos de 1,78% a R$ 26,82. Na noite de ontem, a estatal informou que seu lucro líquido caiu 42 por cento entre janeiro e março, ante o mesmo período de 2018, para 4,03 bilhões de […]",Positive,recomendação de compra,Positive,True,,,https://www.moneytimes.com.br/petrobras-opera-com-ganhos-btg-mantem-otimismo-e-recomendacao-de-compra/
2019-05-21,MoneyTimes,safra,"Petrobras: Ação está barata, aponta banco Safra em início de cobertura","As ações da Petrobras estão baratas na comparação com outras grandes empresas internacionais do setor de petróleo, avalia o banco Safra em um relatório de início de cobertura das ações da estatal divulgado a clientes na noite de segunda-feira (21). A recomendação é de outperform (desempenho acima da média do mercado), o mesmo que compra, […]",Positive,está barat,Neutral,False,,,https://www.moneytimes.com.br/petrobras-acao-esta-barata-aponta-banco-safra-em-inicio-de-cobertura/
2019-06-03,InfoMoney,itaú bba,"Petrobras de olho na venda de ativos; Itaú BBA eleva projeção para Vale, Light considera oferta pública e mais",Confira as notícias corporativas que vão movimentar o mercado nesta segunda-feira (03),Positive,eleva projeç,Neutral,False,,,https://www.infomoney.com.br/mercados/petrobras-de-olho-na-venda-de-ativos-itau-bba-eleva-projecao-para-vale-light-considera-oferta-publica-e-mais/
2019-06-10,MoneyTimes,btg,BTG vê ponto de entrada nas ações da Petrobras com recente queda do petróleo,"O BTG Pactual (BPAC11) divulgou na última semana relatório sobre a Petrobras (PETR4) listando recomendação de compra para os ADRs (American Depositary Receipts), com preço-alvo de US$ 20,00 – o que equivale a um upside (potencial de valorização) de 31,4% em relação ao último fechamento. Para os analistas Thiago Duarte, Pedro Soares e Daniel Guardiola, a decisão […]",Positive,recomendação de compra,Negative,False,,,https://www.moneytimes.com.br/btg-ve-ponto-de-entrada-nas-acoes-da-petrobras-com-recente-queda-do-petroleo/
2019-07-03,MoneyTimes,bank of america,Bank of America recomenda compra de Petrobras com alvo em US$ 21,"Por Investing.com  Nesta quarta-feira o Bank of America Merrill Lynch divulgou relatório a clientes informando que retomou a cobertura das ADR das Petrobras (PETR4), com preço-alvo em US$ 21,00 e recomendação de compra, o que representa um upside de 38%, levando em consideração o fechamento da sessão de ontem. Nesta quarta-feira, as ações tiveram ganhos […]",Positive,recomenda compra,Neutral,False,,,https://www.moneytimes.com.br/bank-of-america-recomenda-compra-de-petrobras-com-alvo-em-us-21/
2019-07-07,MoneyTimes,planner,Petrobras: Planner indica compra e eleva preço-alvo para ação antes de resultado do 2º trimestre,"A Planner reiterou a recomendação de compra para as ações da Petrobras (PETR4) e elevou o preço-alvo para os papéis de R$ 33 para R$ R$ 34,50, mostra um relatório divulgado nesta última sexta-feira (5). “A Petrobras vive hoje um momento bastante positivo, com aumentos de produção e vendas, além dos ingressos expressivos de recursos no caixa […]",Positive,eleva preço-alvo,Neutral,False,,,https://www.moneytimes.com.br/petrobras-planner-indica-compra-e-eleva-preco-alvo-antes-de-resultado-do-2o-trimestre/
2019-07-26,MoneyTimes,btg,De olho em Petrobras? BTG atualiza estimativas e dispara: “top pick no setor”,"“Pequeno desapontamento, porém o mix continua a tendência de melhora”. A avaliação é do BTG Pactual, em relatório divulgado nesta sexta-feira (26) sobre os dados operacionais da Petrobras (PETR3; PETR4) no segundo trimestre deste ano. De acordo com os analistas Thiago Duarte, Pedro Soares e Daniel Guardiola, o segmento de exploração e produção deverá apresentar resultados melhores […]",Positive,top pick,Neutral,False,,,https://www.moneytimes.com.br/de-olho-em-petrobras-btg-atualiza-estimativas-e-dispara-top-pick-no-setor/
2019-07-31,MoneyTimes,xp investimentos,"Petrobras: Ainda há muito espaço para alta das ações, avalia XP Investimentos","As ações da Petrobras (PETR3; PETR4) ainda tem bastante espaço para crescimento, avalia a XP Investimentos em um relatório enviado a clientes em que reinicia a cobertura dos papeis da estatal. A recomendação é de compra. O documento com o título “Grandes avanços estão acontecendo e não estão sendo vistos”, assinado por Gabriel Fonseca, aponta […]",Positive,espaço para alta,Neutral,False,,,https://www.moneytimes.com.br/petrobras-ainda-ha-muito-espaco-para-alta-das-acoes-avalia-xp-investimentos/
2019-08-01,InfoMoney,xp,XP recomenda compra para ações da Petrobras: “papéis baratos e grandes eventos por vir”,"Analista Gabriel Francisco retomou cobertura para os ativos com visão positiva e apontando que grandes avanços estão acontecendo, mas não estão precificados",Positive,recomenda compra,Neutral,False,,,https://www.infomoney.com.br/negocios/xp-recomenda-compra-para-acoes-da-petrobras-papeis-baratos-e-grandes-eventos-por-vir/
2019-08-27,MoneyTimes,bradesco bbi,"Petrobras: Ações estão baratas e preferimos ordinárias a preferenciais, diz Bradesco","“Estamos atualizando nossas estimativas para a Petrobras (PETR3; PETR4) e rolando nosso preço-alvo para o final de 2020 para R$ 38,00 por ação”. A afirmação permeia relatório do Bradesco BBI para a Petrobras, no qual os analistas Vicente Falanga e Ricardo França listam recomendação de compra para os papeis, por verem o “múltiplo EV/Ebitda (valor de mercado […]",Positive,estão barat,Neutral,False,,,https://www.moneytimes.com.br/petrobras-acoes-estao-baratas-e-preferimos-ordinarias-a-preferenciais-diz-bradesco/
2019-08-29,MoneyTimes,credit suisse,"Petrobras: Novos dividendos são positivos, mas vão ficar para 2021, diz Credit Suisse","O Credit Suisse analisa com viés positivo a nova política de dividendos da Petrobras (PETR3; PETR4). “Existem duas importantes mensagens: desalavancagem é a prioridade principal e a compensação aos acionistas será mais transparente no planejamento da estatal”, afirmam os analistas Regis Cardoso e Victor Schmidt. “Acreditamos que o aumento da transparência nos dividendos futuros é positivo por […]",Positive,são positiv,Neutral,False,,,https://www.moneytimes.com.br/petrobras-novos-dividendos-sao-positivos-mas-vao-ficar-para-2021-diz-credit-suisse/
2019-09-06,MoneyTimes,btg,BTG Pactual reitera compra das ADRs da Petrobras com preço-alvo em US$ 17,"Por Investing.com O BTG Pactual (BPAC11) reiterou nesta sexta-feira a recomendação de compra para as ADRs da Petrobras (PETR4), reforçando a tese de o papel parece ser o caso de que está barato e não tem a confiança do mercado, o que pode desencadear uma recuperação forte dos preços. As informações constam de relatório enviado […]",Positive,recomendação de compra,Positive,True,,,https://www.moneytimes.com.br/btg-pactual-reitera-compra-das-adrs-da-petrobras-com-preco-alvo-em-us-1700/
2019-10-21,MoneyTimes,guide,Guide substitui Duratex e Cyrela por Petrobras e CCR na carteira recomendada da semana,"A Guide Investimentos alterou duas ações de sua carteira recomendada semanal, divulgada nesta segunda-feira (21). Com isso, os papéis da Duratex (DTEX3) e Cyrela (CYRE3) saíram para dar lugar aos da Petrobras (PETR4) e CCR (CCRO3). “Recentemente, o quadro ficou mais positivo para a companhia, em especial após os acordos com o Ministério Público”, comentou […]",Positive,positivo para,Neutral,False,,,https://www.moneytimes.com.br/guide-substitui-duratex-e-cyrela-por-petrobras-e-ccr-na-carteira-recomendada-da-semana/
2019-11-01,InfoMoney,analista,Investidores ganham 300% em 1 semana com opções de Petrobras,"O analista Fernando Góes, da Clear Corretora, enviou as recomendações de compra para os alunos do curso A Grande Tacada",Positive,recomendações de compra,Positive,True,,,https://www.infomoney.com.br/mercados/investidores-ganham-300-em-1-semana-com-acoes-de-petrobras/
2020-02-19,MoneyTimes,safra,"Ação da Petrobras está com um bom ponto de entrada, indica Banco Safra","As ações da Petrobras (PETR3;PETR4) estão com um bom ponto de entrada, avalia o Banco Safra em um relatório enviado a clientes. Os analistas Kaique Vasconcellos e Daniel Travitzky elevaram o preço-alvo para os papéis da estatal e reforçaram a recomendação de compra. A estimativa para os papéis ordinários PETR3 passou de R$ 36,30 para […]",Positive,bom ponto de entrada,Positive,True,,,https://www.moneytimes.com.br/acao-da-petrobras-esta-com-um-bom-ponto-de-entrada-indica-banco-safra/
2020-03-18,MoneyTimes,ubs,"Petrobras: rentabilidade de projetos cairá “significativamente”, diz UBS","A Petrobras (PETR3; PETR4) iniciou o ano como a preferida do UBS entre as petrolíferas latino-americanas. Embora ainda sustente essa distinção, a estatal brasileira ficou mais longe de atingir as expectativas do banco suíço, devido à queda recente da cotação do petróleo. Em relatório assinado pelos analistas Luiz Carvalho e Gabriel Barra, o UBS afirma […]",Positive,preferida,Negative,False,,,https://www.moneytimes.com.br/petrobras-rentabilidade-de-projetos-caira-significativamente-diz-ubs/
2020-03-18,MoneyTimes,itaú bba,"Ação da Petrobras ainda está atraente, avalia Itaú BBA","As ações da Petrobras (PETR4) ainda estão atraentes, a despeito das projeções pessimistas para os preços do petróleo, avalia o Itaú BBA em um relatório enviado a clientes nesta quarta-feira (18). O analista André Hachem cortou o preço-alvo de R$ 40 para R$ 29, mas manteve a recomendação outperform (desempenho acima da média do mercado). […]",Positive,está atraent,Neutral,False,,,https://www.moneytimes.com.br/acao-da-petrobras-ainda-esta-atraente-avalia-itau-bba/
2020-04-07,MoneyTimes,s&p,Petrobras: S&P rebaixa perspectiva de nota de crédito para estável diante de pandemia,"A Standard and Poor’s rebaixou a perspectiva de nota de crédito da Petrobras (PETR3; PETR4) de positiva para estável, informou a companhia por meio de comunicado enviado ao mercado nesta terça-feira (7). A agência classificadora de risco manteve o nível de risco (rating) da dívida corporativa da companhia em “BB-“. Na última segunda-feira (6), a agência […]",Positive,positiva para,Negative,False,,,https://www.moneytimes.com.br/petrobras-sp-rebaixa-perspectiva-de-nota-de-credito-para-estavel-diante-de-pandemia/
2020-04-08,MoneyTimes,credit suisse,"Risco e retorno: para dobrar seu dinheiro com a Petrobras, compre as ações agora","Em relatório obtido pelo Money Times, o Credit Suisse reitera sua recomendação de outperform para os papéis da Petrobras (PETR3; PETR4), embora tenha cortado o preço-alvo das ADRs de US$ 21 para US$ 14. Mesmo menor, o valor representa um potencial de alta de mais de 100% sobre a cotação de 6 de abril, usada […]",Positive,outperform,Neutral,False,,,https://www.moneytimes.com.br/risco-e-retorno-para-dobrar-seu-dinheiro-com-a-petrobras-compre-as-acoes-agora/
2020-05-08,MoneyTimes,corretora,Ágora vê Petrobras bem posicionada no mercado e altera recomendação do papel para compra,"A Ágora Investimentos atualizou nesta sexta-feira (8) a recomendação da Petrobras (PETR4) para compra e elevou o preço-alvo da ação de R$ 18,50 para R$ 29. A corretora acredita que as notícias sobre o setor petrolífero devem ganhar um tom positivo com a flexibilização das restrições de deslocamento e a indicação de cortes na produção. […]",Positive,elevou o preço-alvo,Neutral,False,,,https://www.moneytimes.com.br/agora-ve-petrobras-bem-posicionada-no-mercado-e-altera-recomendacao-do-papel-para-compra/
2020-05-15,InfoMoney,analistas,"Não se engane pelo estrondoso prejuízo de R$ 48,5 bi: resultado da Petrobras foi muito positivo, dizem analistas",Ebitda e baixos custos de extração foram apontados como os fatores positivos reportados pela companhia no 1º trimestre,Positive,foi muito positiv,Negative,False,,,https://www.infomoney.com.br/mercados/nao-se-engane-pelo-estrondoso-prejuizo-de-r-485-bi-resultado-da-petrobras-foi-muito-positivo-dizem-analistas/
2020-05-18,MoneyTimes,analistas,Petrobras: comprar as ações ordinárias ou preferenciais?,"A recomendação de compra das ações da Petrobras (PETR3; PETR4) é quase unânime entre os analistas, mas qual das classes é a mais indicada? Para os analistas do Bradesco BBI, dado praticamente nenhuma chance de dividendos este ano, os papéis ordinários (PETR3) estão mais atraentes do que os preferenciais (PETR4). “Eles normalmente apresentam melhor desempenho […]",Positive,recomendação de compra,Neutral,False,,,https://www.moneytimes.com.br/petrobras-comprar-as-acoes-ordinarias-ou-preferenciais/
2020-06-04,MoneyTimes,guide,Guide: reajuste do preço do GLP é positivo para a Petrobras,"A Guide Investimentos avaliou, nesta quinta-feira (4), que o reajuste de 5% no preço médio do gás liquefeito de petróleo (GLP) é positivo para a Petrobras (PETR4). O reajuste, que teve início hoje, fará com que o valor seja equivalente a R$ 24,08 por botijão de 13 quilos (kg). No acumulado do ano, a redução […]",Positive,é positiv,Positive,True,,,https://www.moneytimes.com.br/guide-reajuste-do-preco-do-glp-e-positivo-para-a-petrobras/
